	JG-27250_S1.rsem.genes.results	JG-27251_S2.rsem.genes.results	JG-27255_S6.rsem.genes.results	JG-27256_S7.rsem.genes.results	JG-27260_S11.rsem.genes.results	JG-27261_S12.rsem.genes.results
ENSG00000261007_RP11-382N13.3	2	2	1	0	2	0
ENSG00000261008_LINC01572	55	95	34	43	57	81
ENSG00000261009_RP11-1437A8.5	0	0	0	0	0	0
ENSG00000261010_RARRES2P6	0	0	0	0	0	0
ENSG00000261011_RP11-96C23.11	0	0	0	0	0.01	0
ENSG00000261012_RP11-116D2.1	0	0	0	0	0	0
ENSG00000261013_CTD-2050B12.1	0	0	0	0	0	0
ENSG00000261014_RP11-370P15.2	0	0	0	0	0	0
ENSG00000261017_RP11-3M1.3	0	0	0	0	0	0
ENSG00000261018_LL09NC01-254D11.1	0	0	0	0	0	0
ENSG00000261019_RP11-111K18.2	1	0	0	1	0	0
ENSG00000261020_RP11-744K17.1	0	0	0	0	1	0
ENSG00000261024_GS1-279B7.1	0	0	0	0	0	0
ENSG00000261025_RP11-84D1.2	0	0	0	0	0	0
ENSG00000261026_CTD-3247F14.2	0	0	0	0	0	0
ENSG00000261028_AC012322.1	0	0	0	0	0	0
ENSG00000261029_CTD-2588J6.2	0	0	0	0	0	0
ENSG00000261030_RP11-791M20.1	0	0	0	0	0	0
ENSG00000261033_RP11-209D14.2	0	0	1	0	0	0
ENSG00000261035_RP11-151E14.1	0	0	0	0	0	0
ENSG00000261036_RP11-574H6.1	0	0	0	0	0	0
ENSG00000261037_CTC-471C19.1	0	0	0	0	0	0
ENSG00000261038_RP1-149C7.1	0	0	0	0	0	0
ENSG00000261039_RP11-417E7.2	0	0	0	0	1	0
ENSG00000261040_WFDC21P	1237.34	754.88	1098.93	838.82	995.69	862.79
ENSG00000261041_RP11-536P16.4	0	0	0	0	0	0
ENSG00000261043_RP11-24M17.6	0	0	0	0	0	0
ENSG00000261044_AP006547.3	0	0	0	0	0	0
ENSG00000261045_RP11-673P17.4	0	0	0	0	0	0
ENSG00000261046_C2orf69P1	0	0	0	0	1	0
ENSG00000261047_AC137527.2	0	0	0	0	0	0
ENSG00000261048_RP11-810K23.9	1	0	0	0	0	0
ENSG00000261049_RP11-357N13.1	0	0	0	0	0	0
ENSG00000261051_RP11-274H2.5	1	1	1	0	0	1
ENSG00000261052_SULT1A3	309.36	270.52	424.28	177.66	172.49	132.99
ENSG00000261053_NAMPTP3	0	1	0	0	0	0
ENSG00000261054_RP11-6O2.4	0	0	0	2.27	0	0
ENSG00000261055_RP11-195M16.3	1	0	0	0	2	2
ENSG00000261056_RP11-454F8.2	3	0	0	0	1	2
ENSG00000261057_LINC00555	0	0	0	0	0	0
ENSG00000261058_RP11-252E2.2	0	0	0	0	0	0
ENSG00000261060_RP11-545A16.4	0	0	0	0	0	0
ENSG00000261061_RP11-303E16.2	95	87	105	62	69	102
ENSG00000261063_RP11-538I12.2	15.81	5.11	0	1.55	0	17.22
ENSG00000261064_RP11-1000B6.3	1	0	1	0.53	0	2
ENSG00000261065_RP11-74C13.4	0	0	0	0	2.69	0.19
ENSG00000261066_RP11-483K5.3	0	0	0	0	0	0
ENSG00000261067_RP11-264B17.3	31.04	32.01	64.97	48.65	25.21	31.9
ENSG00000261068_RP11-7K24.3	0	1	0	1	0	4
ENSG00000261069_RP11-701H24.4	31	36	32	52	26	55
ENSG00000261070_RP11-554A11.8	0	0	0	0	1	0
ENSG00000261071_RP1-223E5.4	17.04	20.03	8.66	19.46	24.2	16.11
ENSG00000261072_RP11-5N19.3	0	0	0	0	0	0
ENSG00000261075_LINC01195	0	0	0	0	0	0
ENSG00000261076_RP11-179B15.6	0	0	0	0	0	0
ENSG00000261077_RP11-553E24.1	0	0	0	0	0	0
ENSG00000261078_RP11-481J2.1	0	0	0	0	0	0
ENSG00000261079_RP11-252A24.3	0	2.01	1	6.09	2	1
ENSG00000261080_RP1-166H4.2	0	0	0	0	0	0
ENSG00000261081_RP11-1H8.1	0	0	0	0	0	0
ENSG00000261082_LINC01228	0	0	0	0	0	0
ENSG00000261083_RP11-93I21.3	0	1	0	0	0	0
ENSG00000261084_PPP1R1AP2	0	0	0	0	0	0
ENSG00000261087_KB-1460A1.5	33	23	31	43	22	13
ENSG00000261089_RP11-435I10.3	1	0	1	0	0	0
ENSG00000261090_RP11-20G6.2	0	0	0	0	0	0
ENSG00000261092_RP11-21B23.2	0	0	0	0	0	0
ENSG00000261093_CTD-3126B10.1	0	0	0	0	0	0
ENSG00000261094_RP11-355O1.11	35	34	39	32	14	28
ENSG00000261095_RP11-899L11.1	0	0	0	0	0	0
ENSG00000261096_RP11-690I21.2	2	0	8	0	2	0
ENSG00000261097_LINC00563	2	0	0	0	0	0
ENSG00000261098_RP11-819C21.1	12.01	26.01	12.96	47	10	43.03
ENSG00000261101_RP4-545K15.5	8	4	9	8	4	4
ENSG00000261102_ATP5J2P6	0	0	0	0	0	0
ENSG00000261103_RP11-298D21.3	0	0	0	0	0	0
ENSG00000261104_RP11-734K21.5	0	0	0	0	0	0
ENSG00000261105_LMO7-AS1	0	0	0	0	1	0
ENSG00000261108_RP11-586K12.5	0	0	0	0	0	0
ENSG00000261111_RP11-96K14.1	0	0	0	0	0	0
ENSG00000261113_RP11-141O15.1	9.18	5.12	9.63	5.27	1.16	2.17
ENSG00000261114_RP11-325K4.2	26.1	23.29	23.53	15.65	28.04	19.7
ENSG00000261115_TMEM178B	464	59	363	45	389	122
ENSG00000261116_RP3-523K23.2	18	49	16	55	36	65
ENSG00000261117_RP11-333O1.1	0	0	0	0	0	0
ENSG00000261118_RP11-104N10.1	1	3	1	2	0	4
ENSG00000261120_RP11-62H20.1	0	0	0	0	0	0
ENSG00000261121_RP11-496D24.2	0	0	0	0	0	0
ENSG00000261122_FLJ26245	0	216	1	158	2	254
ENSG00000261123_RP11-304L19.3	20	7	7.68	11	13	8
ENSG00000261124_AC135050.5	1	0	0	0	0	1
ENSG00000261126_RP11-795F19.1	56.47	47.08	47.93	36.28	39.51	54.65
ENSG00000261127_RP11-17M15.2	0	0	0	0	0	0
ENSG00000261129_RP11-361D14.2	0	0	0	0	0	0
ENSG00000261130_RP11-1021N1.1	0	0	0	0	0	1
ENSG00000261131_RP11-93O14.2	0	0	0	0	1	0
ENSG00000261135_RP4-798A10.7	13	13.97	21	16	11	8.18
ENSG00000261136_RP11-37C7.3	16	15	26	13	9.2	9
ENSG00000261140_RP11-20I23.6	4	11	6	11	7	10
ENSG00000261141_RP11-303E16.5	3	1	1	1	0	0
ENSG00000261143_ADAMTS7P3	0	0	1.11	0	0	0
ENSG00000261144_RP11-102D18.1	0	0	0	0	0	0
ENSG00000261145_RP11-296I10.5	0	0	0	0	0	0
ENSG00000261146_RP11-2A4.4	0	0	0	0	0	0
ENSG00000261147_RP11-697E2.6	0	0	8.4	14.89	0	2.79
ENSG00000261150_EPPK1	2	27	2	25	3	33
ENSG00000261151_RP11-332G1.1	0	0	0	0	0	0
ENSG00000261153_RP11-104C4.2	0	0	0	0	0	0
ENSG00000261154_RP11-571O6.1	0	0	0	0	0	0
ENSG00000261156_RP11-215E13.1	0	0	0	0	0	0
ENSG00000261158_CTD-2583P5.3	0	0	0	0	0	0
ENSG00000261159_RP11-723O4.9	2	5	4	9	4	8
ENSG00000261161_RP11-58A18.1	0	0	0	0	0	0
ENSG00000261166_RP11-775H9.3	0	0	0	0	0	0
ENSG00000261167_RP11-517B11.7	43	35	65	77	38	75
ENSG00000261168_RP11-68I18.10	2	0	1	3	0	1
ENSG00000261170_RP11-252A24.5	0	0	1	0	0	0
ENSG00000261171_RP11-1136G4.1	0	0	0	0	0	0
ENSG00000261172_RP11-356C4.5	0	0	0	0	0	0
ENSG00000261173_RP11-169E6.1	1	2	0	0	0	1
ENSG00000261174_RP11-844G16.1	0	0	0	0	0	0
ENSG00000261175_CTD-2015G9.2	1	1	0	2	0	5
ENSG00000261176_RP11-2L4.1	0	0	0	0	0	0
ENSG00000261177_RP11-805I24.1	0	0	0	0	0	0
ENSG00000261178_RP11-90K18.1	0	0	0	0	0	0
ENSG00000261181_RP11-467M13.2	0	0	0	0	0	0
ENSG00000261182_RP11-201A3.1	0	0	0	0	0	0
ENSG00000261183_RP11-532F12.5	0	0	0	0	0	0
ENSG00000261184_RP11-196O2.1	0	0	0	0	0	0
ENSG00000261186_RP11-341N2.1	1	0	3	1	2	1
ENSG00000261187_RP11-1007O24.2	0	5	1	1	0	2
ENSG00000261188_CTA-445C9.14	88	117	104	118	65	129
ENSG00000261189_RP3-512B11.3	0	22	0	18	0	20
ENSG00000261190_C16orf97	0	0	0	0	0	0
ENSG00000261191_RP11-16L14.2	0	0	0	0	0	0
ENSG00000261192_RNF126P1	0	0	0	0	0	0
ENSG00000261193_RP11-863P13.5	0	0	0	0	0	0
ENSG00000261194_RP11-704C2.1	0	0	0	0	0	0
ENSG00000261195_CTD-2380F24.1	0	0	0	0	0	0
ENSG00000261196_CYP4A43P	0	0	0	0	0	0
ENSG00000261197_RP11-598D12.2	0	0	0	0	0	0
ENSG00000261198_RP11-26O3.1	0	0	0	0	0	0
ENSG00000261199_UBE2FP2	0	0	0	0	0	0
ENSG00000261200_RP11-989E6.10	36.06	39	24	26	24	26
ENSG00000261202_RP3-496C20.1	2	0	0	2	2	1
ENSG00000261203_RP11-347C12.8	0	0	0	0	0	0
ENSG00000261204_AC004449.6	0	2	2	3	0	0
ENSG00000261205_NIFKP4	0	0.95	0	0	2	0
ENSG00000261206_LINC00561	0	0	0	0	0	0
ENSG00000261207_LA16c-361A3.3	2	3	3	1	0	2
ENSG00000261208_RP11-452D12.1	0	0	0	0	2	0
ENSG00000261209_SULT1C2P2	0	0	0	0	0	0
ENSG00000261210_CLEC19A	0	0	0	0	0	0
ENSG00000261211_RP1-80N2.3	11.99	12.8	9.58	17.56	3.01	19.23
ENSG00000261212_RP3-507I15.2	0	0	0	0	0	0
ENSG00000261213_RP11-510C10.4	0	0	0	0	0	0
ENSG00000261215_RP11-195F19.30	0	0	0	1	0	0
ENSG00000261216_RP11-166B2.5	0	1	1	0	0	0
ENSG00000261217_BCAP31P1	0	0	0	0	0	0
ENSG00000261218_RP11-960L18.1	0	0	0	0	0	0
ENSG00000261219_RP11-344A16.2	0	0	0	0	0	0
ENSG00000261220_RP11-629O1.2	24	15	25	23	7	29
ENSG00000261221_ZNF865	101	181	128	163	155	190
ENSG00000261222_CTD-2006K23.1	0	0	0	1	0	0
ENSG00000261226_RP11-830F9.7	0	0	0	0	0	0
ENSG00000261227_AC140912.1	0	0	0	0	0	0
ENSG00000261229_RP11-38G5.4	1	1	0	2	1	6
ENSG00000261231_RP11-523L20.2	1	0	0	0	0	0
ENSG00000261232_RP11-331H13.1	0	0	0	0	0	0
ENSG00000261233_ABCD1P3	0	0	0	0	0	0
ENSG00000261234_RP11-356O24.1	0	0	0	0	0	0
ENSG00000261235_RP11-510J16.5	0	0	0	0	0	0
ENSG00000261236_BOP1	1901	2071	2084	1444	2125	2268
ENSG00000261238_AC009166.5	0	0	0	0	0	0
ENSG00000261239_ANKRD26P1	0	3	2	1	1	2
ENSG00000261240_RP11-304L19.4	12	5	9	6	2	4
ENSG00000261241_RP11-883G14.1	0	0	0	0	0	0
ENSG00000261242_CTD-2302E22.4	0	0	2	1	2	0
ENSG00000261243_RP11-517C16.4	1	1	1	7	1	4
ENSG00000261244_RP11-114H24.7	0	0	0	0	0	0
ENSG00000261245_RP11-120K18.3	0	0	0	0	0	0
ENSG00000261247_GOLGA8T	0	0	1.55	0.01	4.36	0
ENSG00000261248_AC009120.10	0	0	0	0	0	0
ENSG00000261249_RP11-19D2.2	0	0	0	0	0	0
ENSG00000261250_RP11-545A16.1	0	0	0	0	0	0
ENSG00000261251_RP3-388M5.9	2	5	3	4	3	1
ENSG00000261253_AC137932.6	2	9	4	6	1	4
ENSG00000261254_RP4-714D9.5	10	14	15	12	9	10.03
ENSG00000261257_RP11-673E11.2	0	0	0	0	0	0
ENSG00000261259_RP11-19N8.2	0	0	0	0	0	0
ENSG00000261260_CTD-2520I13.1	0	0	0	0	0	0
ENSG00000261261_RP11-297L17.4	0	0	0	0	0	0
ENSG00000261263_RP11-586K12.13	0	0	0	0	0	0
ENSG00000261265_CTD-2515H24.4	0	0	0	0	0	0
ENSG00000261266_CTD-2196E14.5	0	2	0	0	0	1
ENSG00000261267_RP11-44I10.3	0	0	0	0	0	0
ENSG00000261268_RP11-308D13.3	0	0	0	0	0	0
ENSG00000261269_RP11-389C8.2	12	0	2	0	3	2
ENSG00000261270_RP11-325K4.3	9.9	5.71	9.47	15.35	17.96	7.3
ENSG00000261272_MUC22	1	0	0	0	0	0
ENSG00000261273_LA16c-444G7.1	0	0	0	0	0	0
ENSG00000261274_TP53TG3GP	0	0	0	0	0	0
ENSG00000261275_RP11-760D2.11	0	0	0	0	0	0
ENSG00000261276_RP11-554A11.5	0	0	0	0	0	0
ENSG00000261277_OR4H6P	0	0	0	0	0	0
ENSG00000261278_RP11-430C1.2	0	0	0	0	0	0
ENSG00000261279_ULK4P1	10.28	0	0	0	5.18	0
ENSG00000261281_RP11-361M10.4	0	0	0	0	0	0
ENSG00000261282_SOD1P2	0	0	0	0	0	0
ENSG00000261284_RBM22P13	0	1	0	0	0	0
ENSG00000261285_RP11-481E4.2	0	0	0	0	0	0
ENSG00000261286_RP11-517C16.2	13.46	14.97	14.72	24.7	15.58	27.49
ENSG00000261288_RP11-20I23.11	0	0	0	0	0	0
ENSG00000261289_RP11-170L3.5	0	0	0	0	0	0
ENSG00000261290_CYP4A44P	0	0	0	0	0	0
ENSG00000261291_RP11-295M3.2	0	0	0	0	0	1
ENSG00000261292_RP11-389G6.3	0	0	0	0	0	0
ENSG00000261293_RP11-276H1.2	0	0	0	0	0	0
ENSG00000261294_RP11-616M22.3	0	0	0	0	0	0
ENSG00000261295_RP11-524D16__A.3	4	4	3	3	0	2
ENSG00000261296_RP11-299H22.6	1	1	1	0	1	0
ENSG00000261298_RP11-309M7.1	0	0	0	0	0	0
ENSG00000261299_C2orf69P3	0	0	0	0	0	0
ENSG00000261302_RP11-343H19.1	0	1	0	0	0	0
ENSG00000261303_RP11-160C18.2	0	0	0	0	0	0
ENSG00000261304_CTD-2125J1.1	0	0	0	0	0	0
ENSG00000261305_RP4-584D14.7	0	0	0	0	0	0
ENSG00000261307_RP11-157P23.2	0	0	0	0	0	0
ENSG00000261308_FIGNL2	0	0	0	0	0	0
ENSG00000261310_RP11-354I13.1	0	0	0	0	0	0
ENSG00000261312_AC002550.5	4.46	0	0	0	2.67	3.43
ENSG00000261313_RP11-2C15.1	0	0	0	0	0	0
ENSG00000261314_RP11-359E8.5	0	0	0	1	0	0
ENSG00000261315_LARP4P	0	0	0	0	0	0
ENSG00000261316_CTC-400I9.1	0	0	0	0	0	0
ENSG00000261317_RP11-566K11.5	0	12.67	0	0	19.35	0
ENSG00000261318_RP11-653J6.1	0	0	0	0	0	0
ENSG00000261319_RP11-279O17.1	15	22	31	40	12	27
ENSG00000261320_RP11-297D21.2	0	0	0	0	0	0
ENSG00000261324_RP11-174G6.5	15.26	12.18	17.54	19	4.99	12
ENSG00000261325_AC140542.2	0	0	0	0	0	0
ENSG00000261326_LINC01355	47	53	91	65	29	35
ENSG00000261327_RP11-863P13.3	0	0	0	0	0	0
ENSG00000261329_CTD-2049O4.1	0	1.07	0	0	2.04	1.04
ENSG00000261330_RP11-281J9.1	0	0	0	0	0	0
ENSG00000261332_RP11-297C4.1	0	0	0	0	0	0
ENSG00000261333_CD24P2	0	0	0	0	0	0
ENSG00000261334_RP11-65J3.14	0	0	0	0	0	1
ENSG00000261335_RP11-318A15.2	3.38	4.8	3.44	1.07	3.27	8.46
ENSG00000261336_EIF4BP5	1	0	1	0	0	1
ENSG00000261338_RP11-378A13.1	30	27	15	7	22	11
ENSG00000261340_LINC01616	0	0	0	0	0	0
ENSG00000261341_CTD-2568A17.1	0	0	0	0	0	0
ENSG00000261342_AC006538.1	28	11	38	14	13	5
ENSG00000261346_RP11-297C4.2	0	0	0	0	1	0
ENSG00000261347_AP000439.5	0	0	0	0	0	0
ENSG00000261348_RP11-510M2.1	0	0	0	0	0	0
ENSG00000261349_RP3-465N24.5	0	4	1	0	1	2
ENSG00000261350_RP11-80F22.14	0	0	0	0	0	0
ENSG00000261351_CTD-3185P2.1	22.34	12.65	21.06	21.62	14.33	32.79
ENSG00000261353_CTA-14H9.5	0	0	0	0	0	0
ENSG00000261356_RP11-46D6.5	0	0	0	0	0	0
ENSG00000261357_RP11-626G11.1	0	1	0	1	0	0
ENSG00000261359_PYCARD-AS1	0	0	0	0	0	0
ENSG00000261360_CTD-2165H16.4	6	7	12	10	3	8
ENSG00000261362_RP11-467M13.3	0	0	0	0	0	0
ENSG00000261363_RP11-134D3.2	0	0	0	0	0	0
ENSG00000261364_RP11-59E19.4	0	0	0	0	0	0
ENSG00000261365_RP11-483E23.5	0	0	0	0	0	0
ENSG00000261366_MANEA-AS1	9	4	13	6	4	2
ENSG00000261367_RP11-455F5.4	1	0	1	1	2.78	1
ENSG00000261368_RP11-96B5.4	0	0	0	0	0	0
ENSG00000261369_RP11-474B12.1	0	0	0	0	1	0
ENSG00000261371_PECAM1	32	37	31	34	13	10
ENSG00000261373_VPS9D1-AS1	686	1259	898.93	1387	1106	1856
ENSG00000261375_RP11-632K20.6	0	0	0	0	0	0
ENSG00000261376_RP11-525K10.2	0	0	0	0	0	0
ENSG00000261377_PDCD6IPP2	37.39	4	23	3	10	3
ENSG00000261379_RP11-395N3.1	0	0	0	0	0	0
ENSG00000261382_RP11-461L18.1	0	0	1	0	0	0
ENSG00000261384_RP11-60L3.2	0	0	0	0	0	0
ENSG00000261385_RP11-388M20.2	0	0	0	0	0	0
ENSG00000261386_CTD-2012K14.6	2	1	2	2	0	1
ENSG00000261390_MAFTRR	0	0	0	0	0	0
ENSG00000261391_RP11-586K12.7	0	0	0	0	0	0
ENSG00000261392_RP11-473I1.6	2	1	0	0	0	3
ENSG00000261393_RP11-21B23.1	0	0	0	0	0	0
ENSG00000261394_RP11-165M1.3	0	0	0	0	0	0
ENSG00000261395_HSPE1P5	0	3	0	0	1	1
ENSG00000261396_CTD-2012K14.2	0	0	1	0	0	0
ENSG00000261397_LINC01177	0	0	0	0	0	0
ENSG00000261398_RP11-244B22.6	0	0	0	0	0	0
ENSG00000261399_LA16c-329F2.1	0	0	0	0	0	0
ENSG00000261400_AC011525.2	0	0	0	0	0	0
ENSG00000261401_RP11-578F21.3	0	0	0	2	0	0
ENSG00000261402_RP11-378I6.1	0	0	0	0	0	0
ENSG00000261403_RP11-114H24.3	0	0	0	0	0	0
ENSG00000261404_AC009120.4	0	0	0	0	0	0
ENSG00000261405_RP11-23E10.4	1	2	0	1	0	1
ENSG00000261407_RP11-326A19.3	1	0	1	0	0	0
ENSG00000261408_TEN1-CDK3	40.63	66.44	55.2	51.99	58.74	63.41
ENSG00000261409_RP6-24A23.7	0	0	0	0	0	0
ENSG00000261410_RP11-543N12.1	0	0	0	0	0	0
ENSG00000261411_RP11-268G13.1	0	0	0	0	0	0
ENSG00000261416_RP11-455F5.5	0	0	0	0	0	0
ENSG00000261418_RP11-529J17.3	0	0	0	0	0	0
ENSG00000261419_RP11-57A19.4	0	0	0	0	0	0
ENSG00000261420_RP1-168L15.5	3	1	3	2	1	4
ENSG00000261421_RP11-22D3.1	0	0	0	0	0	0
ENSG00000261423_RP11-1007O24.3	8.13	6.46	13.53	14.14	7.32	8.7
ENSG00000261424_ATP5F1P7	0	0	0	0	0	0
ENSG00000261426_AC144833.1	0	0	0	0	0	0
ENSG00000261427_CTD-2349B8.1	1.01	0	0	0	0	0.76
ENSG00000261428_RP11-16P6.1	19	15	49	20	17	24
ENSG00000261429_DPPA2P4	0	0	0	0	0	0
ENSG00000261430_LA16c-390E6.3	0	0	0	0	0	0
ENSG00000261431_RP4-616B8.4	0	0	0	0	0	1
ENSG00000261432_LINC01613	0	0	0	0	0	0
ENSG00000261433_CTC-297N7.1	0	0	1	0	0	0
ENSG00000261434_CTD-2083E4.7	0	0	0	0	0	0
ENSG00000261435_RP13-126P21.2	0	1	0	0	0	0
ENSG00000261436_RP11-354I13.2	0	0	0	0	0	0
ENSG00000261437_RP11-22C11.2	0	0	0	0	0	0
ENSG00000261438_RP11-399O19.9	11	16	5	13	4	10
ENSG00000261439_DKFZP434H168	0	0	0	0	0	0
ENSG00000261440_DUX4L45	0	0	0	0	0	0
ENSG00000261441_RP11-217B1.2	1	2	6	2	4	2
ENSG00000261442_RP11-709D24.6	0	0	0	0	0	0
ENSG00000261444_RP11-347C12.9	0	0	0	0	0	0
ENSG00000261445_RP11-80F22.4	0	0	0	0	0	0
ENSG00000261446_LINC00559	0	0	0	0	0	0
ENSG00000261447_RP11-109D9.4	0	0	0	0	0	0
ENSG00000261448_CTD-2576D5.4	0	0	0	0	0	0
ENSG00000261449_RP11-589C21.5	1	0	0	0	0	0
ENSG00000261451_RP11-981G7.1	1	1	1	3	1	2
ENSG00000261453_RP11-565N2.1	0	0	0	0	0	0
ENSG00000261455_LINC01003	25	16	23	14	24	25
ENSG00000261456_TUBB8	0	0	0	0	0	1
ENSG00000261457_AC002519.6	0	0	0	0	0	0
ENSG00000261458_RP11-787D11.1	0	0	0	0	0	0
ENSG00000261459_AC002310.11	0	1.47	9.82	4.18	2.72	0
ENSG00000261460_RP11-106M3.3	47.66	43.43	62.56	36.31	37.41	28.37
ENSG00000261461_UBE2MP1	0	0	0	0	0	0
ENSG00000261462_CTA-254O6.1	0	0	1	1	0	0
ENSG00000261465_RP11-626G11.5	0	0	1	1	0	1
ENSG00000261466_RP11-23E10.2	1	0	1	1	1	4
ENSG00000261467_RP11-731K22.1	3	3	2	1	0	1
ENSG00000261468_RP11-1024P17.1	25	13	38	15	11	13
ENSG00000261469_RP11-96D1.6	0	0	0	0	0	0
ENSG00000261470_RP11-152O14.4	0	0	0	0	0	0
ENSG00000261471_RP11-61F12.1	3	0	1	1	0	1
ENSG00000261472_RP11-467I17.1	0	0	0	0	0	0
ENSG00000261474_RP11-452L6.1	3	0	0	2	0	3
ENSG00000261475_CTD-2014E2.6	0	0	0	0	0	0
ENSG00000261476_RP11-77K12.3	0	0	0	0	0	0
ENSG00000261478_RP11-429B14.4	0	0	0	0	0	0
ENSG00000261480_RP11-578F21.6	0	0	0	0	1	0
ENSG00000261481_RP11-77H9.6	0	0	0	1	0	0
ENSG00000261482_RP11-673P17.2	0	0	0	0	0	0
ENSG00000261485_PAN3-AS1	7	26	23	23	6	25
ENSG00000261486_RARRES2P9	0	0	0	0	0	0
ENSG00000261487_AC135048.13	9.85	20.17	4.46	42.53	12.16	23.59
ENSG00000261488_RP11-757F18.5	5	15	14	30	13	17
ENSG00000261489_CTD-2515H24.3	0	0	0	0	0	0
ENSG00000261490_RP11-448G15.3	28	10	38	19	15	11
ENSG00000261491_DNM1P31	0	0	0	0	0	0
ENSG00000261496_RP13-514E23.1	0	0	0	0	0	0
ENSG00000261497_RP11-483E23.3	0	0	1	0	0	0
ENSG00000261498_LINC00566	0	0	0	0	0	0
ENSG00000261499_CH17-260O16.1	13.16	7.73	11.2	21.08	9.3	0
ENSG00000261501_RP11-63B13.1	0	0	0	0	0	0
ENSG00000261502_RP11-96H17.1	0	0	0	0	0	0
ENSG00000261504_RP11-317P15.4	3	1	0	0	2	2
ENSG00000261505_LA16c-358B7.3	60.61	106.37	115.89	111.75	61.13	108.94
ENSG00000261507_RP11-1437A8.6	0	0	0	0	0	0
ENSG00000261509_TP53TG3B	0.86	0	0	0	2.16	0.33
ENSG00000261511_CYP3A137P	0	0	0	0	0	0
ENSG00000261512_RP11-46D6.1	32.17	110.35	66.51	88.61	60.16	100.48
ENSG00000261513_RP11-432I5.8	0	0	0	0	0	0
ENSG00000261514_RP11-527L4.2	0	0	0	0	0	0
ENSG00000261515_VN1R70P	0	0	0	0	0	0
ENSG00000261517_LINC00558	0	0	0	0	0	0
ENSG00000261519_RP11-403P17.4	0	4.01	0	0	0	2.71
ENSG00000261520_DLGAP1-AS5	0	0	1	0	0	0
ENSG00000261522_RP11-407P15.1	0	0	1	1	0	0
ENSG00000261523_RP11-82O18.2	0	0	0	0	0	0
ENSG00000261524_ABCB10P3	0	0	0	0	0	0
ENSG00000261526_CTB-31O20.2	49	28	86	52	27	50
ENSG00000261527_RP11-343C2.10	0	0	0	1	0	0
ENSG00000261528_AC002400.1	0	0	0	0	0	0
ENSG00000261529_RP13-487P22.1	0	0	0	0	0	0
ENSG00000261532_RP11-304L19.8	0	0	0	0	0	0
ENSG00000261533_RP11-15N24.4	15	7	21	10	18	19
ENSG00000261534_RP11-244O19.1	428	697	414	688	270	788
ENSG00000261535_CTA-305I2.1	0	0	0	0	0	0
ENSG00000261536_ABHD17AP9	0	0	0	0	0	0
ENSG00000261537_RP11-319G9.5	0	0	0	0	0	0
ENSG00000261538_RP11-3M1.1	0	0	0	0	0	0
ENSG00000261540_RP11-281J9.2	0	0	0	0	0	0
ENSG00000261541_RP11-626K17.3	2	4	0	0	3	7
ENSG00000261542_RP11-16E18.3	4	1	3	0	1	0
ENSG00000261543_RP11-665J16.1	0	0	0	0	0	0
ENSG00000261544_RP11-16E23.3	0	0	0	0	0	0
ENSG00000261546_CTD-2555A7.3	2	0	2	3	0	2
ENSG00000261548_HLA-P	0	0	0	0	0	0
ENSG00000261549_RP11-320A16.1	0	0	0	0	0	0
ENSG00000261550_RP11-467J12.4	0	1	1	0	0	0
ENSG00000261552_RP11-264B17.5	0	0	0	0	0	0
ENSG00000261553_RP11-29G8.3	11.17	23.58	24.16	27.35	16.28	29.73
ENSG00000261554_RP11-810K23.10	1	1	0	0	0	1
ENSG00000261555_CTD-3229J4.1	0	0	0	0	0	0
ENSG00000261556_SMG1P7	147.41	214.62	228.04	174.48	98.22	153.6
ENSG00000261557_EEF1A1P38	3.97	3.7	4.98	2	1	7
ENSG00000261558_CTD-2291D10.2	0	0	0	0	0	0
ENSG00000261559_FSCN1P1	0	0	0	0	0	0
ENSG00000261560_RP11-166B2.3	10	7	8	9	6	10
ENSG00000261561_RP11-536P16.2	0	0	0	0	0	0
ENSG00000261564_RP11-616M22.10	0	0	0	0	0	0
ENSG00000261566_CTD-2144E22.6	0	0	0	0	0	0
ENSG00000261567_RP11-680G10.1	1	1	0	0	1	0
ENSG00000261568_RP11-524C21.2	0	1	0	0	0	0
ENSG00000261569_RP11-586K12.11	0	0	0	0	0	0
ENSG00000261570_RP11-744I24.2	0	0	0	0	0	0
ENSG00000261572_RP11-384L8.1	0	0	0	0	0	1
ENSG00000261573_RP11-553K8.5	1	0	0	1	0	0
ENSG00000261574_RP1-168P16.2	0	0	1	0	0	0
ENSG00000261575_RP11-259G18.1	2	0	0	0	0	0
ENSG00000261578_RP11-21L23.2	45	79	67	68	26	56
ENSG00000261580_ENPP7P13	0	0	0	0	0	0
ENSG00000261581_HERC2P11	0	0	0	0	0	0
ENSG00000261582_RP4-614O4.11	0	0	1.09	5.49	1.08	1.09
ENSG00000261583_CTD-2385L22.1	0	0	0	0	0	0
ENSG00000261584_RP11-457M11.5	2.75	0	5.52	9.11	2	6
ENSG00000261586_RP11-923I11.6	0	0	0	0	0	0
ENSG00000261587_TMEM249	43.97	52.26	74.74	43.26	40.86	35.7
ENSG00000261588_AC002310.17	0	0	1	0	0	0
ENSG00000261590_RP11-457D20.1	0	0	0	0	0	0
ENSG00000261592_RP11-178L8.3	0	0	0	0	2	0
ENSG00000261593_CYP4A27P	0	0	0	0	0	0
ENSG00000261594_TPBGL	0	0	0	0	0	0
ENSG00000261595_RP11-426L16.9	0	0	0	0	0	0
ENSG00000261596_CTB-31N19.3	2	5	3	2	2	1
